filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes,text
train/000190.jpg,358251,{},356,0,"{""name"":""rect"",""x"":168,""y"":235,""width"":343,""height"":62}","{""name"":""INVOICE_ISSUER""}",G@ntinental:s.
train/000190.jpg,358251,{},356,1,"{""name"":""rect"",""x"":175,""y"":401,""width"":81,""height"":13}","{""name"":""others""}",Continantal
train/000190.jpg,358251,{},356,2,"{""name"":""rect"",""x"":262,""y"":401,""width"":80,""height"":13}","{""name"":""others""}",Automotive
train/000190.jpg,358251,{},356,3,"{""name"":""rect"",""x"":348,""y"":401,""width"":81,""height"":16}","{""name"":""others""}",Changchun
train/000190.jpg,358251,{},356,4,"{""name"":""rect"",""x"":435,""y"":401,""width"":28,""height"":15}","{""name"":""others""}","Ca.,"
train/000190.jpg,358251,{},356,5,"{""name"":""rect"",""x"":469,""y"":401,""width"":25,""height"":13}","{""name"":""others""}",Ltd.
train/000190.jpg,358251,{},356,6,"{""name"":""rect"",""x"":176,""y"":433,""width"":38,""height"":15}","{""name"":""others""}","1881,"
train/000190.jpg,358251,{},356,7,"{""name"":""rect"",""x"":220,""y"":433,""width"":52,""height"":13}","{""name"":""others""}",Wuhan
train/000190.jpg,358251,{},356,8,"{""name"":""rect"",""x"":276,""y"":433,""width"":55,""height"":13}","{""name"":""others""}",Avenue
train/000190.jpg,358251,{},356,9,"{""name"":""rect"",""x"":336,""y"":433,""width"":86,""height"":16}","{""name"":""others""}","Changchun,"
train/000190.jpg,358251,{},356,10,"{""name"":""rect"",""x"":428,""y"":433,""width"":28,""height"":13}","{""name"":""others""}",Jitin
train/000190.jpg,358251,{},356,11,"{""name"":""rect"",""x"":462,""y"":433,""width"":65,""height"":15}","{""name"":""others""}","Province,"
train/000190.jpg,358251,{},356,12,"{""name"":""rect"",""x"":533,""y"":433,""width"":73,""height"":14}","{""name"":""others""}",P.R.China
train/000190.jpg,358251,{},356,13,"{""name"":""rect"",""x"":611,""y"":433,""width"":53,""height"":13}","{""name"":""others""}",130033
train/000190.jpg,358251,{},356,14,"{""name"":""rect"",""x"":186,""y"":518,""width"":69,""height"":26}","{""name"":""others""}",Billing
train/000190.jpg,358251,{},356,15,"{""name"":""rect"",""x"":262,""y"":518,""width"":104,""height"":21}","{""name"":""others""}",Address:
train/000190.jpg,358251,{},356,16,"{""name"":""rect"",""x"":186,""y"":550,""width"":52,""height"":21}","{""name"":""others""}",Ford
train/000190.jpg,358251,{},356,17,"{""name"":""rect"",""x"":249,""y"":550,""width"":54,""height"":21}","{""name"":""others""}",India
train/000190.jpg,358251,{},356,18,"{""name"":""rect"",""x"":313,""y"":550,""width"":81,""height"":21}","{""name"":""others""}",Private
train/000190.jpg,358251,{},356,19,"{""name"":""rect"",""x"":404,""y"":550,""width"":83,""height"":21}","{""name"":""others""}",Limited
train/000190.jpg,358251,{},356,20,"{""name"":""rect"",""x"":186,""y"":581,""width"":73,""height"":21}","{""name"":""others""}",FORD
train/000190.jpg,358251,{},356,21,"{""name"":""rect"",""x"":270,""y"":581,""width"":68,""height"":21}","{""name"":""others""}",INDIA
train/000190.jpg,358251,{},356,22,"{""name"":""rect"",""x"":348,""y"":582,""width"":50,""height"":20}","{""name"":""others""}",PVT
train/000190.jpg,358251,{},356,23,"{""name"":""rect"",""x"":407,""y"":582,""width"":143,""height"":25}","{""name"":""others""}",LTD(PLANT
train/000190.jpg,358251,{},356,24,"{""name"":""rect"",""x"":559,""y"":581,""width"":162,""height"":22}","{""name"":""others""}",CODE:1055R
train/000190.jpg,358251,{},356,25,"{""name"":""rect"",""x"":185,""y"":613,""width"":105,""height"":21}","{""name"":""others""}",Revenue
train/000190.jpg,358251,{},356,26,"{""name"":""rect"",""x"":299,""y"":613,""width"":81,""height"":26}","{""name"":""others""}",Survey
train/000190.jpg,358251,{},356,27,"{""name"":""rect"",""x"":389,""y"":613,""width"":51,""height"":21}","{""name"":""others""}",No.1
train/000190.jpg,358251,{},356,28,"{""name"":""rect"",""x"":183,""y"":645,""width"":79,""height"":26}","{""name"":""others""}",Village
train/000190.jpg,358251,{},356,29,"{""name"":""rect"",""x"":272,""y"":645,""width"":157,""height"":26}","{""name"":""others""}",NorthKotpura
train/000190.jpg,358251,{},356,30,"{""name"":""rect"",""x"":184,""y"":677,""width"":80,""height"":20}","{""name"":""others""}",Taluka
train/000190.jpg,358251,{},356,31,"{""name"":""rect"",""x"":271,""y"":687,""width"":16,""height"":4}","{""name"":""others""}",—
train/000190.jpg,358251,{},356,32,"{""name"":""rect"",""x"":295,""y"":677,""width"":100,""height"":20}","{""name"":""others""}",Sanand-
train/000190.jpg,358251,{},356,33,"{""name"":""rect"",""x"":404,""y"":677,""width"":42,""height"":20}","{""name"":""others""}",382
